x,y,w
2.487190037105359,4.171573197638712,0
0.9416541195199986,2.8216204346139517,1
2.0118571600574002,3.3556256364594392,0
2.397630718946238,4.154199564341089,0
2.55679334881885,5.339953746655197,1
1.3320280520718628,1.9782393114871941,0
1.731548379965115,2.9189578460415087,0
2.5058686867309694,5.793293554013561,1
2.4315312132234768,4.236497648346174,0
0.1892977593889702,1.606458482311207,1
0.5753293383568545,2.237527641589363,1
1.5142261470940257,2.2639498671504503,0
1.4257035910216347,3.9694404640833123,1
0.9169895547833913,1.1428663039873384,0
2.466582566343834,4.25758881070346,0
2.6597435953411113,4.757031794163521,0
1.021584588072407,3.1982111159436064,1
1.2820157188134393,2.3222283962430845,0
3.131076963250565,7.4001271217934965,1
1.4940565144894444,4.104403740552914,1
1.8759156281031528,4.615923638908569,1
2.639719483860405,4.8169143792934745,0
3.0046396664553217,6.825666656331404,1
2.141377808624025,4.19302633221978,0
1.112898069568623,1.8831428176193894,0
2.0855225307630874,3.8909115558293865,0
1.3900545670368887,2.281446353984036,0
2.592082555436209,5.833671841567196,1
1.5183349189007096,2.4220576136313867,0
1.8753816681725977,4.659235675335154,1
2.2629873068366164,3.7269470409856438,0
0.3521090422270978,1.9252182731823106,1
1.5386460670432505,4.228612102440516,1
2.4220041746753846,5.766547466212759,1
1.0322817108435114,1.8369449197814138,0
0.7479271886620908,0.6610481935778102,0
0.6364515036557254,0.8696864436138125,0
-0.47751835347197646,-1.8996362062683685,0
1.7890837019780803,3.693827712144132,0
2.6371701556733758,6.041615152940733,1
4.021187880965954,9.28123657903889,1
2.0545931158481983,4.736738358235392,1
1.5236725829724431,2.0730231904417353,0
2.456833474703446,3.894900551311517,0
3.333561939674884,5.799640048268138,0
1.0835219211610454,1.4874032909171502,0
1.4778455939878936,2.1682445712017846,0
2.3987330784540406,5.700979093783359,1
2.8922001552044123,5.456027038750294,0
3.8372537080172737,7.292093823132534,0
2.1332450411798676,3.890364046369412,0
1.8447641577908804,2.705345781218491,0
2.421106055211547,4.146084532922089,0
1.8957749839569549,5.041639301438212,1
0.6073547086580626,0.3154754560152678,0
1.8475797416470843,3.1036915884496468,0
2.298792648407581,4.46995700112071,0
2.79480953828432,5.482812718778233,0
1.2169450890378068,1.7585890964486761,0
1.5765838706557869,3.3054580750976172,0
2.311259894762004,5.526999722518271,1
2.409204801548811,4.279095690569624,0
2.8960212364718347,5.080059793284997,0
1.4192691423091945,1.6771616421269033,0
1.2028981364603868,3.2392447264758406,1
2.8977153701264338,5.704761075158871,0
1.1288293437234538,1.5143960582232794,0
2.0178504205191246,3.7001411218039997,0
1.607254096708455,2.9139817669685035,0
2.8328801936002215,6.811433552707435,1
1.559272414953555,2.4607982604479486,0
0.5629774979086057,0.45532861958563475,0
2.1120448110884222,4.0683640808274015,0
2.1387748971528553,3.5792794842213262,0
1.7077121470954657,3.3588199261692964,0
1.7549380518543718,4.271405924313727,1
